filename,freshripe,freshunripe,overripe,ripe,rotten,unripe
musa-acuminata-mold-e38d6cb3-1d0a-11ec-a725-d8c4975e38aa_jpg.rf.3ghJTjF4D5fqPfZyuIel.jpg,0,0,1,0,1,0
musa-acuminata-overripe-80d5b2b5-2653-11ec-b35e-d8c4975e38aa_jpg.rf.3VgAHYkPZhOBurfmMNms.jpg,0,0,1,0,0,0
musa-acuminata-freshunripe-667f26d2-1d0a-11ec-a0b5-d8c4975e38aa_jpg.rf.ImpxPM0PnkHUw93ngqGU.jpg,0,1,0,0,0,0
musa-acuminata-banana-b6bcdef3-394a-11ec-875d-d8c4975e38aa_jpg.rf.IrYUReRdkNDvjcIWHIeB.jpg,0,0,0,1,0,0
musa-acuminata-banana-c9e08f99-394a-11ec-aa99-d8c4975e38aa_jpg.rf.3utBwAYLdbxyDjlGm132.jpg,0,0,0,1,0,0
musa-acuminata-rotten-865fc826-2653-11ec-95e9-d8c4975e38aa_jpg.rf.2vehOb2c4i8zBTHhQxVu.jpg,0,0,0,0,1,0
musa-acuminata-banana-ea8996bb-394a-11ec-9cd7-d8c4975e38aa_jpg.rf.3uyeOvJ0AequlOtL0ivg.jpg,1,0,0,1,0,0
musa-acuminata-rotten-b9c7734b-1d0a-11ec-ad3d-d8c4975e38aa_jpg.rf.3wuXW676vMS09xrJ1M4n.jpg,0,0,0,0,1,0
musa-acuminata-mold-e3bf7a46-1d0a-11ec-a466-d8c4975e38aa_jpg.rf.IhR7nkPrgHwkdWzz5Mjx.jpg,0,0,1,0,1,0
musa-acuminata-ripe-926a7f0e-1d0a-11ec-ac96-d8c4975e38aa_jpg.rf.3GoSZEXBBhoMABVu0Yhg.jpg,0,0,0,1,0,0
musa-acuminata-rotten-ae8d9409-1d0a-11ec-8e93-d8c4975e38aa_jpg.rf.48KLd8oMZiZ8K9MHbMSr.jpg,0,0,0,0,1,0
musa-acuminata-ripe-6c59a33e-2653-11ec-ae1f-d8c4975e38aa_jpg.rf.4AxEG6sobn7neSmmSzU3.jpg,0,0,0,1,0,0
musa-acuminata-banana-a5c64ec9-4037-11ec-9710-94b86d66fd1d_jpg.rf.4BW42jUmcbqdz51RJPVQ.jpg,1,0,0,0,0,0
musa-acuminata-unripe-8c70550b-1d0a-11ec-992b-d8c4975e38aa-1-_jpg.rf.43vdIcTOkb3w4wHFqnyu.jpg,0,0,0,0,0,1
